Title,Info,Rating,IMG_URL
Fullmetal Alchemist: Brotherhood,"TV (64 eps)
        Apr 2009 - Jul 2010
        2,877,376 members",9.14,https://cdn.myanimelist.net/r/50x70/images/anime/1223/96541.jpg?s=faffcb677a5eacd17bf761edd78bfb3f
Gintama°,"TV (51 eps)
        Apr 2015 - Mar 2016
        533,133 members",9.08,https://cdn.myanimelist.net/r/50x70/images/anime/3/72078.jpg?s=e9537ac90c08758594c787ede117f209
Shingeki no Kyojin Season 3 Part 2,"TV (10 eps)
        Apr 2019 - Jul 2019
        1,831,163 members",9.08,https://cdn.myanimelist.net/r/50x70/images/anime/1517/100633.jpg?s=4540a01b5883647ade494cd28392f100
Steins;Gate,"TV (24 eps)
        Apr 2011 - Sep 2011
        2,233,214 members",9.08,https://cdn.myanimelist.net/r/50x70/images/anime/5/73199.jpg?s=97b97d568f25a02cf5a22dda13b5371f
Spy x Family,"TV (12 eps)
        Apr 2022 - 
        692,169 members",9.06,https://cdn.myanimelist.net/r/50x70/images/anime/1441/122795.jpg?s=ba5838dcfffe4a5cd4988e09d8436c79
Gintama',"TV (51 eps)
        Apr 2011 - Mar 2012
        469,638 members",9.05,https://cdn.myanimelist.net/r/50x70/images/anime/4/50361.jpg?s=b3a061db8c3d42a055d58f9df1f3dac7
Gintama: The Final,"Movie (1 eps)
        Jan 2021 - Jan 2021
        101,656 members",9.05,https://cdn.myanimelist.net/r/50x70/images/anime/1988/113791.jpg?s=e12ba155fe4a7beff571a5010d8214b2
Hunter x Hunter (2011),"TV (148 eps)
        Oct 2011 - Sep 2014
        2,361,487 members",9.05,https://cdn.myanimelist.net/r/50x70/images/anime/1337/99013.jpg?s=1838e905a0aa3542a009fbcf78000701
Fruits Basket: The Final,"TV (13 eps)
        Apr 2021 - Jun 2021
        344,736 members",9.04,https://cdn.myanimelist.net/r/50x70/images/anime/1085/114792.jpg?s=bb4303c0804c9d5ca9fcb30b8f8e6783
Gintama': Enchousen,"TV (13 eps)
        Oct 2012 - Mar 2013
        280,513 members",9.04,https://cdn.myanimelist.net/r/50x70/images/anime/6/75172.jpg?s=38a6e800ace5bcbee7a17b6c351ba987
Ginga Eiyuu Densetsu,"OVA (110 eps)
        Jan 1988 - Mar 1997
        279,225 members",9.03,https://cdn.myanimelist.net/r/50x70/images/anime/13/13225.jpg?s=385cedad342e284c5765833ab1cddc1c
Gintama.,"TV (12 eps)
        Jan 2017 - Mar 2017
        267,453 members",8.99,https://cdn.myanimelist.net/r/50x70/images/anime/3/83528.jpg?s=948f092dd55fb2572f38a0e21f03b642
Kaguya-sama wa Kokurasetai: Ultra Romantic,"TV (12 eps)
        Apr 2022 - 
        464,298 members",8.98,https://cdn.myanimelist.net/r/50x70/images/anime/1160/122627.jpg?s=9b41450e9598d10c97fb4eeb7cca3737
3-gatsu no Lion 2nd Season,"TV (22 eps)
        Oct 2017 - Mar 2018
        350,925 members",8.96,https://cdn.myanimelist.net/r/50x70/images/anime/3/88469.jpg?s=becfbf556902bc3501e06a07354b9d76
Gintama,"TV (201 eps)
        Apr 2006 - Mar 2010
        941,338 members",8.95,https://cdn.myanimelist.net/r/50x70/images/anime/10/73274.jpg?s=ed42453c10ba12b03b1600d02725a174
Koe no Katachi,"Movie (1 eps)
        Sep 2016 - Sep 2016
        1,958,531 members",8.95,https://cdn.myanimelist.net/r/50x70/images/anime/1122/96435.jpg?s=56d2750d600af93a5d326daec7748cae
Violet Evergarden Movie,"Movie (1 eps)
        Sep 2020 - Sep 2020
        435,063 members",8.95,https://cdn.myanimelist.net/r/50x70/images/anime/1825/110716.jpg?s=3ad8359182d0b47905f28d0a68683171
Clannad: After Story,"TV (24 eps)
        Oct 2008 - Mar 2009
        1,077,690 members",8.94,https://cdn.myanimelist.net/r/50x70/images/anime/1299/110774.jpg?s=fcd9db2cfd72c10a2278f483173cfff9
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Movie (1 eps)
        Jul 2013 - Jul 2013
        209,492 members",8.93,https://cdn.myanimelist.net/r/50x70/images/anime/10/51723.jpg?s=27cd24446486572fb64c42a689d38902
Code Geass: Hangyaku no Lelouch R2,"TV (25 eps)
        Apr 2008 - Sep 2008
        1,563,515 members",8.91,https://cdn.myanimelist.net/r/50x70/images/anime/4/9391.jpg?s=be052972605dd5422ef2df117766cff0
Owarimonogatari 2nd Season,"TV (7 eps)
        Aug 2017 - Aug 2017
        347,704 members",8.90,https://cdn.myanimelist.net/r/50x70/images/anime/6/87322.jpg?s=3e60507a4b6016d83e7433aa4cb7853e
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"TV (14 eps)
        Jul 2018 - Oct 2018
        163,167 members",8.88,https://cdn.myanimelist.net/r/50x70/images/anime/1776/96566.jpg?s=e1aed468f049dd9444375e9149d33d65
Kimetsu no Yaiba: Yuukaku-hen,"TV (11 eps)
        Dec 2021 - Feb 2022
        866,489 members",8.88,https://cdn.myanimelist.net/r/50x70/images/anime/1908/120036.jpg?s=34065463bac342e6efe8bfdbed5d24de
